entity,example,intent,norm
TRUCKERJK,야상자켓,CLOTHES-TYPE,트럭커 자켓
TRUCKERJK,야상잠바,CLOTHES-TYPE,트럭커 자켓
TRUCKERJK,야상점퍼,CLOTHES-TYPE,트럭커 자켓
MUSTANG,모피,CLOTHES-TYPE,무스탕
MUSTANG,퍼,CLOTHES-TYPE,무스탕
MUSTANG,무스탕,CLOTHES-TYPE,무스탕
MUSTANG,모피코트,CLOTHES-TYPE,무스탕
LEATHERJK,가죽 자킷,CLOTHES-TYPE,가죽 자켓
LEATHERJK,가죽 재킷,CLOTHES-TYPE,가죽 자켓
LEATHERJK,가죽 자켓,CLOTHES-TYPE,가죽 자켓
LEATHERJK,가죽 쟈켓,CLOTHES-TYPE,가죽 자켓
LEATHERJK,가죽 쟈킷,CLOTHES-TYPE,가죽 자켓
LEATHERJK,레더 자킷,CLOTHES-TYPE,가죽 자켓
LEATHERJK,레더 재킷,CLOTHES-TYPE,가죽 자켓
LEATHERJK,레더 자켓,CLOTHES-TYPE,가죽 자켓
LEATHERJK,레더 쟈켓,CLOTHES-TYPE,가죽 자켓
LEATHERJK,레더 쟈킷,CLOTHES-TYPE,가죽 자켓
LEATHERJK,라이더 자킷,CLOTHES-TYPE,가죽 자켓
LEATHERJK,라이더 재킷,CLOTHES-TYPE,가죽 자켓
LEATHERJK,라이더 자켓,CLOTHES-TYPE,가죽 자켓
LEATHERJK,라이더 쟈켓,CLOTHES-TYPE,가죽 자켓
LEATHERJK,라이더 쟈킷,CLOTHES-TYPE,가죽 자켓
BLOUSON,블루종,CLOTHES-TYPE,블루종
BLOUSON,항공점퍼,CLOTHES-TYPE,블루종
BLOUSON,항공잠바,CLOTHES-TYPE,블루종
BLOUSON,MA 1,CLOTHES-TYPE,블루종
BLOUSON,MA - 1,CLOTHES-TYPE,블루종
HOODZIPUP,후드집업,CLOTHES-TYPE,후드집업
HOODZIPUP,집업,CLOTHES-TYPE,후드집업
VEST,조끼,CLOTHES-TYPE,조끼
VEST,베스트,CLOTHES-TYPE,조끼
CARDIGAN,가디건,CLOTHES-TYPE,가디건
CARDIGAN,카디건,CLOTHES-TYPE,가디건
COAT,코트,CLOTHES-TYPE,코트
PADDING,패딩,CLOTHES-TYPE,패딩
JACKET,자킷,CLOTHES-TYPE,자켓
JACKET,재킷,CLOTHES-TYPE,자켓
JACKET,자켓,CLOTHES-TYPE,자켓
JACKET,쟈켓,CLOTHES-TYPE,자켓
JACKET,쟈킷,CLOTHES-TYPE,자켓
OUTER,아우터,CLOTHES-TYPE,아우터
OUTER,외투,CLOTHES-TYPE,자켓
OUTER,코트,CLOTHES-TYPE,자켓
FABRIC-THICK,도톰한,FABRIC-THICK-GEN,두툼한
FABRIC-THICK,두툼한,FABRIC-THICK-GEN,두툼한
FABRIC-THICK,두꺼운,FABRIC-THICK-GEN,두툼한
FABRIC-THICK,두터운,FABRIC-THICK-GEN,두툼한
FABRIC-THICK,톡톡한,FABRIC-THICK-GEN,두툼한
FABRIC-THICK,봄가을용,FABRIC-THICK-GEN,두툼한
FABRIC-THICK,환절기용,FABRIC-THICK-GEN,두툼한
FABRIC-THICK,봄가을용인,FABRIC-THICK-GEN,두툼한
FABRIC-THICK,환절기용인,FABRIC-THICK-GEN,두툼한
FABRIC-THICK,스프링용,FABRIC-THICK-GEN,두툼한
FABRIC-THICK,간절기용,FABRIC-THICK-GEN,두툼한
FABRIC-THICK,스프링용인,FABRIC-THICK-GEN,두툼한
FABRIC-THICK,간절기용인,FABRIC-THICK-GEN,두툼한
FABRIC-THICK,스프링,FABRIC-THICK-GEN,두툼한
FABRIC-THICK,봄,FABRIC-THICK-GEN,두툼한
FABRIC-THICK,가을,FABRIC-THICK-GEN,두툼한
FABRIC-THICK,환절기,FABRIC-THICK-GEN,두툼한
FABRIC-THICK,간절기,FABRIC-THICK-GEN,두툼한
MAXISK,롱 스커트,MATCH-DOWN-TYPE-WITH,롱 스커트
MAXISK,롱 치마,MATCH-DOWN-TYPE-WITH,롱 스커트
MAXISK,맥시 스커트,MATCH-DOWN-TYPE-WITH,롱 스커트
MAXISK,맥시 치마,MATCH-DOWN-TYPE-WITH,롱 스커트
